baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4383.884031,1.176281213,0.15325352,7.67539442,1.65E-14,9.21E-13
87.10917293,1.115864492,0.33687482,3.312401002,0.000924989,0.003855702
94.72054902,-1.710984788,0.394273301,-4.339590799,1.43E-05,0.000104613
501.2080929,-1.326280796,0.235981678,-5.620270215,1.91E-08,2.78E-07
328.2248313,1.152148321,0.161286418,7.143492516,9.10E-13,3.53E-11
344.0152227,-1.718160108,0.240125475,-7.155259589,8.35E-13,3.32E-11
436.7091863,-1.160358261,0.171531301,-6.764702739,1.34E-11,3.84E-10
907.7169661,1.159565144,0.188352862,6.156344702,7.44E-10,1.48E-08
820.9406342,-1.406721717,0.227551527,-6.181991989,6.33E-10,1.28E-08
3354.056054,1.089395128,0.195072197,5.584574056,2.34E-08,3.31E-07
175.2428178,-1.647023874,0.359387398,-4.582864853,4.59E-06,3.81E-05
167.0622484,-1.136796476,0.288557214,-3.939587792,8.16E-05,0.000480267
403.5505401,-1.307323878,0.525266736,-2.488876199,0.012814758,0.036113779
597.9046303,1.101404266,0.168102541,6.55197869,5.68E-11,1.45E-09
318.2090717,-2.496463547,0.324424113,-7.695061652,1.41E-14,8.05E-13
7.81268692,-3.564996877,1.191564584,-2.991862065,0.002772815,0.009954505
576.4409105,-1.179575814,0.159304012,-7.404558103,1.32E-13,6.21E-12
2317.431718,-2.715095327,0.391946636,-6.927206605,4.29E-12,1.35E-10
1741.503387,-1.273508956,0.52759311,-2.413808924,0.015786739,0.04284369
527.596287,-1.193010986,0.212521936,-5.613589872,1.98E-08,2.87E-07
586.1134469,1.320772016,0.186072539,7.098156588,1.26E-12,4.72E-11
53.49545486,-1.063601005,0.325517979,-3.267410935,0.00108536,0.004436136
3703.176428,-1.277755392,0.173592896,-7.36064333,1.83E-13,8.38E-12
2614.823796,-1.0983997,0.144497442,-7.601516556,2.93E-14,1.55E-12
5678.740494,1.190642785,0.257057358,4.631817566,3.62E-06,3.11E-05
580.2902369,1.248658399,0.179812426,6.944227521,3.81E-12,1.22E-10
1631.092253,1.083796957,0.20709757,5.233267386,1.67E-07,1.97E-06
220.3096901,-1.245353681,0.226603534,-5.495738114,3.89E-08,5.25E-07
264.2628948,-1.019827024,0.220722168,-4.620410514,3.83E-06,3.26E-05
915.6439548,1.263805815,0.167066424,7.564690625,3.89E-14,2.01E-12
2712.206406,1.070492867,0.246792088,4.337630408,1.44E-05,0.000105297
125.5352809,-1.099685652,0.240771101,-4.567349015,4.94E-06,4.07E-05
177.9060554,-1.00884604,0.334693099,-3.014242131,0.002576221,0.009366679
1997.291532,-1.170534162,0.16108921,-7.266372236,3.69E-13,1.55E-11
582.287851,-1.806119002,0.214135938,-8.434450645,3.33E-17,3.38E-15
35.79726769,-1.793898929,0.634746191,-2.826167303,0.004710865,0.015658618
3484.706331,-4.300513442,0.439643649,-9.781816379,1.35E-22,3.73E-20
2547.894208,1.020424306,0.229049823,4.455032073,8.39E-06,6.51E-05
543.5044352,3.666017909,0.627873255,5.838786541,5.26E-09,8.54E-08
1306.656597,1.824083546,0.361912275,5.040126214,4.65E-07,4.96E-06
1002.225185,1.074256456,0.239297306,4.489212497,7.15E-06,5.65E-05
511.5655237,1.202843645,0.190187023,6.324530579,2.54E-10,5.67E-09
84.22231996,-1.014518465,0.271451163,-3.737388543,0.000185941,0.000974513
2523.287473,-2.459046118,0.372130782,-6.608015876,3.90E-11,1.01E-09
491.9613763,-1.12012058,0.173229482,-6.466108225,1.01E-10,2.42E-09
238.1767505,-1.64264801,0.195424893,-8.405520826,4.26E-17,4.18E-15
358.58381,1.323600528,0.171727944,7.707543099,1.28E-14,7.44E-13
839.6625185,-1.3866015,0.235826564,-5.879751104,4.11E-09,6.78E-08
49.69488706,2.657589119,0.460610193,5.76971409,7.94E-09,1.24E-07
752.2376359,-1.352509313,0.184190844,-7.342977997,2.09E-13,9.35E-12
690.2067795,1.072131849,0.180576919,5.937258526,2.90E-09,5.00E-08
1132.045558,-1.041171448,0.264956381,-3.929595676,8.51E-05,0.000495741
4363.298421,1.453063032,0.276025368,5.264237279,1.41E-07,1.70E-06
6590.532317,1.178559667,0.186321143,6.325420986,2.53E-10,5.65E-09
4511.116866,-5.32411993,0.441849912,-12.04961184,1.95E-33,1.19E-30
92.4230139,-1.66434415,0.297158278,-5.600867526,2.13E-08,3.05E-07
666.5979993,1.12575577,0.165933074,6.784396543,1.17E-11,3.45E-10
31.1570136,3.370358094,1.415672563,2.38074692,0.017277577,0.046169568
155.5909591,1.676758357,0.367124908,4.567269391,4.94E-06,4.07E-05
4471.381412,1.204994499,0.165120368,7.297673268,2.93E-13,1.27E-11
2026.489315,-4.172960134,0.470937174,-8.860969925,7.93E-19,1.01E-16
39.28811791,-2.131641308,0.495500907,-4.301992744,1.69E-05,0.000120991
19.89143703,-1.283684678,0.493815664,-2.599521992,0.00933537,0.027719357
31.18698774,-1.390156951,0.566906386,-2.452180792,0.01419933,0.039270626
1023.917055,1.036902489,0.164404163,6.307033035,2.84E-10,6.25E-09
148.2420599,-3.736342004,0.41142631,-9.081436741,1.07E-19,1.76E-17
313.8810562,1.027074738,0.25760103,3.987075427,6.69E-05,0.000403343
2924.839539,-1.001211881,0.219657762,-4.55805373,5.16E-06,4.23E-05
826.212962,-1.040605147,0.296452364,-3.510193454,0.000447781,0.002063809
265.5394915,1.013552762,0.305299185,3.319867237,0.000900603,0.003777321
2326.646672,1.129605475,0.143844611,7.852956498,4.06E-15,2.60E-13
3445.510355,-1.450368017,0.173372757,-8.365605098,5.98E-17,5.52E-15
584.3397985,1.509521397,0.156922447,9.619537734,6.61E-22,1.61E-19
174.3014432,-1.027937961,0.277895152,-3.699013657,0.000216439,0.001109523
475.9671261,1.361860024,0.267307017,5.094741016,3.49E-07,3.86E-06
751.6710749,1.009088426,0.167073678,6.039780991,1.54E-09,2.84E-08
495.8635049,1.158738893,0.200510824,5.778934381,7.52E-09,1.19E-07
132.9060862,-3.655499058,0.584238629,-6.25685957,3.93E-10,8.25E-09
222.8986827,-1.87385004,0.210612666,-8.897138397,5.73E-19,7.76E-17
3675.156073,-1.721961289,0.116339843,-14.80113128,1.44E-49,1.75E-46
55.0387283,-1.750505339,0.493314639,-3.548456099,0.000387497,0.0018251
329.1555565,-1.040467891,0.229106079,-4.541424196,5.59E-06,4.53E-05
410.1065585,-1.157389844,0.184577332,-6.270487444,3.60E-10,7.69E-09
1069.685683,1.259714899,0.201109963,6.263811501,3.76E-10,8.00E-09
3910.844245,-1.016668679,0.195967543,-5.187944217,2.13E-07,2.45E-06
455.7121244,-1.266374705,0.262392543,-4.826260272,1.39E-06,1.31E-05
467.1742333,1.233972848,0.141297505,8.733153858,2.48E-18,2.85E-16
