"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_00150C",1008.41481799115,-1.32310889080539,0.154572094603968,-8.55981730852098,1.13046515141562e-17,2.31802450239769e-16
"C1_00190C",238.035012293096,5.68376776063328,0.375959304072723,15.1180399023556,1.23154067106958e-51,1.56251722641952e-49
"C1_00200C",87.1091729294948,1.00938871851757,0.336153062201329,3.00276520436105,0.00267538754311479,0.00812840854309575
"C1_00270W",94.7205490156598,-3.60015256667511,0.418820017481706,-8.59594197126064,8.25845295987726e-18,1.71651803841818e-16
"C1_00290W",501.208092853925,-3.30407469887751,0.243091846238453,-13.5918779259938,4.47450487475613e-42,4.19226687496382e-40
"C1_00390W",690.327675357392,2.02345912560252,0.141414358948775,14.3087246630696,1.93020596277223e-46,2.02671626091084e-44
"C1_00590W",7459.45457719105,1.45140234214986,0.178248164563309,8.14259347750179,3.86899583319715e-16,6.80987994918227e-15
"C1_00680W",186.741075118175,-1.24082613782407,0.225769929853574,-5.49597609667869,3.88555141630408e-08,2.83729114212132e-07
"C1_00700W",823.275244378722,1.16085812123326,0.239143989200527,4.85422245030736,1.20860009293779e-06,7.19489204886722e-06
"C1_00830W",344.01522270303,-1.39145188547781,0.237479109034707,-5.85926017296304,4.64933799815363e-09,3.77526245450074e-08
"C1_00850W",436.709186311623,-1.44897592530306,0.171992831073232,-8.4246297724241,3.61892704740419e-17,6.97445117680111e-16
"C1_00860W",248.722454667937,-1.14158925984304,0.215400292416388,-5.29985009322198,1.15897799928901e-07,7.95735740210833e-07
"C1_00980W",446.379697490455,1.24214424537872,0.231736015185561,5.36016917518877,8.31440538712365e-08,5.84696637500958e-07
"C1_01010W",1489.55366893812,1.10086827273035,0.141833309671998,7.7617047453536,8.37953041056813e-15,1.2886702070798e-13
"C1_01220C",559.654496513973,1.34600117634703,0.205845467582858,6.5388914905558,6.19764687744145e-11,6.32222269407344e-10
"C1_01240W",820.9406342108,2.2411884832672,0.20994009153788,10.6753715636197,1.3272545970839e-26,5.11581044065882e-25
"C1_01360C",3755.92864292577,-1.71177867387858,0.164049008269516,-10.4345566726396,1.72416680648106e-25,6.10475340201723e-24
"C1_01490W",4120.36763515146,1.08818730571882,0.159962080416077,6.80278290260001,1.02617232667415e-11,1.13419046632406e-10
"C1_01580W",764.884384091448,1.36519756792199,0.128457362397403,10.6276319429519,2.21669529477339e-26,8.43729646573122e-25
"C1_01600W",1143.30970832423,1.2860901384474,0.153318869668431,8.38833563819451,4.93072807872664e-17,9.29663591314094e-16
